symbol,timestamp,open,high,low,close,volume,trade_count,vwap
META,2026-05-01 04:00:00+00:00,614.69,618.88,606.11,608.745,21481724.0,589201.0,611.515981
META,2026-05-04 04:00:00+00:00,607.935,614.0,602.7501,610.41,16288176.0,481104.0,609.374575
META,2026-05-05 04:00:00+00:00,613.31,614.35,600.36,604.96,17250129.0,521610.0,604.518943
META,2026-05-06 04:00:00+00:00,601.05,619.95,598.1,612.88,19986214.0,535184.0,611.260891
META,2026-05-07 04:00:00+00:00,614.72,624.98,613.5401,616.81,12358206.0,358408.0,618.963678
META,2026-05-08 04:00:00+00:00,615.2,616.77,606.0601,609.63,13625240.0,401970.0,610.671845
META,2026-05-11 04:00:00+00:00,604.57,604.9069,598.0801,598.86,16031053.0,530961.0,600.945309
META,2026-05-12 04:00:00+00:00,594.815,603.745,592.6,603.0,11408166.0,372094.0,600.274684
META,2026-05-13 04:00:00+00:00,598.83,619.9,596.6601,616.63,14684405.0,409515.0,611.406161
META,2026-05-14 04:00:00+00:00,616.0,623.73,615.0,618.43,10699053.0,320527.0,619.267162
META,2026-05-15 04:00:00+00:00,613.99,621.1999,609.31,614.23,13320681.0,309867.0,614.823919
META,2026-05-18 04:00:00+00:00,609.105,615.59,603.69,611.21,13829081.0,376501.0,609.92331
META,2026-05-19 04:00:00+00:00,608.92,613.93,600.55,602.61,11799740.0,322823.0,604.813572
META,2026-05-20 04:00:00+00:00,600.755,608.0,597.81,605.06,11375610.0,309901.0,603.809406
META,2026-05-21 04:00:00+00:00,600.0,609.6,594.8083,607.38,13528321.0,358945.0,603.228514
META,2026-05-22 04:00:00+00:00,607.88,614.81,606.95,610.26,11732317.0,277269.0,609.962678
META,2026-05-26 04:00:00+00:00,608.89,614.47,605.3001,612.34,12294889.0,327159.0,609.770505
META,2026-05-27 04:00:00+00:00,609.395,638.4999,609.0,635.255,23192548.0,547030.0,624.79019
META,2026-05-28 04:00:00+00:00,639.495,643.0,629.31,635.29,16824489.0,422540.0,634.597087
META,2026-05-29 04:00:00+00:00,633.5,634.5,623.35,632.51,19862316.0,405678.0,629.651635
META,2026-06-01 04:00:00+00:00,630.4,635.7499,599.53,600.47,29236934.0,805362.0,609.58456
META,2026-06-02 04:00:00+00:00,603.24,608.88,596.68,597.63,18314032.0,476993.0,602.028022
META,2026-06-03 04:00:00+00:00,603.0,624.15,600.27,622.98,23077203.0,538447.0,617.398112
META,2026-06-04 04:00:00+00:00,623.67,642.4,622.43,627.57,21519983.0,474224.0,632.604048
META,2026-06-05 04:00:00+00:00,623.46,629.145,582.91,593.0,30165101.0,700242.0,599.009143
META,2026-06-08 04:00:00+00:00,592.0,592.0,579.22,585.39,19590876.0,450409.0,586.926155
META,2026-06-09 04:00:00+00:00,591.0,597.63,581.01,584.59,17023970.0,402612.0,588.590939
META,2026-06-10 04:00:00+00:00,580.73,591.32,570.6,570.98,17127228.0,435921.0,576.589535
META,2026-06-11 04:00:00+00:00,565.83,572.17,557.01,568.43,17696750.0,517615.0,565.204227
META,2026-06-12 04:00:00+00:00,572.95,576.07,560.9,566.98,14408377.0,396202.0,567.81796
META,2026-06-15 04:00:00+00:00,579.9,601.27,579.2975,593.48,17715392.0,446547.0,593.062519
META,2026-06-16 04:00:00+00:00,593.65,605.81,592.0,600.21,11394920.0,343737.0,598.570736
META,2026-06-17 04:00:00+00:00,592.002,593.81,566.19,567.58,20551498.0,549456.0,575.972596
META,2026-06-18 04:00:00+00:00,572.82,580.215,563.1,577.22,28877898.0,412168.0,575.040722
META,2026-06-22 04:00:00+00:00,572.02,575.81,559.81,563.85,15483958.0,470884.0,565.22262
META,2026-06-23 04:00:00+00:00,562.245,572.2,561.02,562.2,13149174.0,359740.0,564.398515
META,2026-06-24 04:00:00+00:00,561.89,569.04,555.55,557.67,14015412.0,364567.0,560.261352
META,2026-06-25 04:00:00+00:00,555.553,556.34,540.18,542.87,17031545.0,464267.0,546.544257
META,2026-06-26 04:00:00+00:00,543.34,556.85,540.4,550.25,18914057.0,372371.0,550.3977
META,2026-06-29 04:00:00+00:00,560.0,570.9,558.0,562.6,15060731.0,354744.0,564.763048
META,2026-06-30 04:00:00+00:00,560.94,565.535,551.43,563.29,18162140.0,359955.0,560.066958
